poet,title,dynasty,poem_raw,text,polarity,pseudo_label,pseudo_label_zh,top_score,score_anger,score_criticize,score_ease,score_faith,score_fear,score_guilt,score_joy,score_like,score_misgive,score_miss,score_peculiar,score_praise,score_sorrow,score_vexed,score_wish
陆游,捣药鸟,宋,白发无情日日生|散愁聊复作山行|幽禽似欲嘲衰病|故学禅房杵药声,白发无情日日生散愁聊复作山行幽禽似欲嘲衰病故学禅房杵药声,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.11583465265113833,0.0
罗泽南,吊蔡江门先生,淸,今古兴亡感慨同|时穷世乱见孤忠|曾闻梦绕熊湘阁|公泣潭州我泣公,今古兴亡感慨同时穷世乱见孤忠曾闻梦绕熊湘阁公泣潭州我泣公,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
白居易,寒食夜,唐,无月无灯寒食夜|夜深犹立闇花前|忽因时节惊年几|四十如今欠一年,无月无灯寒食夜夜深犹立闇花前忽因时节惊年几四十如今欠一年,Implicit Negative,miss,思念怀念,0.15561139140249397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15561139140249397,0.0,0.0,0.0,0.0,0.0
白玉蟾,冬夕酌月,宋,二毛可惜雪霜侵|日有清都绛阙心|枝冷鹊翻檐外影|庭空鸿堕月边音,二毛可惜雪霜侵日有清都绛阙心枝冷鹊翻檐外影庭空鸿堕月边音,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
白玉蟾,曲肱诗,宋,我有随身一颗珠|见时似有觅时无|金鸡叫罢无人见|月射寒光满太虚,我有随身一颗珠见时似有觅时无金鸡叫罢无人见月射寒光满太虚,Implicit Negative,sorrow,悲伤哀痛,0.10384909807107472,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10384909807107472,0.0,0.0
方献夫,恭和圣制秋日书怀,明,御苑亲耕喜有秋|闾阎犹系花农忧|深惭变理臣无补|祇觉霜添两鬓愁,御苑亲耕喜有秋闾阎犹系花农忧深惭变理臣无补祇觉霜添两鬓愁,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.10994572281936191,0.0,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
王夫之,哭欧阳三弟叔敬沈湘六首,明,枯木难消只赋心|散愁长欲寄知音|调孤雌霓休文句|哭碎灵床子敬琴,枯木难消只赋心散愁长欲寄知音调孤雌霓休文句哭碎灵床子敬琴,Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11350001355835748,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
文天祥,刘监簿第一百二十九,宋,艰难奋长戟|高义薄曾云|死为殊方鬼|三夜频梦君,艰难奋长戟高义薄曾云死为殊方鬼三夜频梦君,Implicit Negative,vexed,烦恼苦闷,0.11583465265113833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11583465265113833,0.0
萨都剌,石林即事,元,三山幕府无公事|多病郎官懒出门|老鹤唤回童子睡|石盆新雨长兰孙,三山幕府无公事多病郎官懒出门老鹤唤回童子睡石盆新雨长兰孙,Neutral,miss,思念怀念,0.15561139140249397,0.0,0.08885849940067135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15561139140249397,0.0,0.0,0.0,0.0,0.0
苏辙,子瞻与长老择师相遇于竹西石塔之间屡以绝句赠之又留书邀辙同作遂以一绝继之,宋,远老陶翁好弟兄|虎溪庐阜久逢迎|何须更要经平子|清议从来贵士衡,远老陶翁好弟兄虎溪庐阜久逢迎何须更要经平子清议从来贵士衡,Implicit Positive,faith,坚定信念,0.13347832467375914,0.0,0.08885849940067135,0.0,0.13347832467375914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
