title,poet,dynasty,full_text,true_5class,true_5desc,true_3class,pred_3class,correct,is_implicit
易足斋,王寂,金,吾爱吾庐事事幽此生随分得优游穷冬夜话蒲团暖长夏朝眠竹簟秋,3,neutral（中性）,neutral,positive,False,False
耿天騭惠梨次韵奉酬三首,王安石,宋,淮圃新阴百亩凉分甘每得助秋尝张公大谷虽云美谁肯苞苴出晋阳,3,neutral（中性）,neutral,positive,False,False
捣药鸟,陆游,宋,白发无情日日生散愁聊复作山行幽禽似欲嘲衰病故学禅房杵药声,2,implicit negative（隐性负面）,negative,negative,True,True
写竹于慈节堂巻,王绂,明,堂前慈竹翠婆娑堂上慈亲鬓已皤歴尽氷霜当雨露诸縁应见锦绷多,3,neutral（中性）,neutral,positive,False,False
送勋侄之官嵢峡五言五首,刘克庄,宋,津吏难绳束滩船易覆翻能除一方害不忝二刘孙,3,neutral（中性）,neutral,positive,False,False
酬从侄再看诗本,王建,唐,眼暗没功夫慵来剪刻粗自看花样古称得少年无,3,neutral（中性）,neutral,negative,False,False
吊蔡江门先生,罗泽南,淸,今古兴亡感慨同时穷世乱见孤忠曾闻梦绕熊湘阁公泣潭州我泣公,2,implicit negative（隐性负面）,negative,negative,True,True
万竹轩,黄裳,宋,阴遥俄喜日华落静久更宜山鸟鸣荣谢易为花厚薄岁寒还得岁寒情,4,implicit positive（隐性正面）,positive,positive,True,True
寒食夜,白居易,唐,无月无灯寒食夜夜深犹立闇花前忽因时节惊年几四十如今欠一年,2,implicit negative（隐性负面）,negative,neutral,False,True
和提刑赵学士探梅三绝,范仲淹,宋,静映寒林晚未芳人人欲看寿阳妆玉颜须傍韶春笑莫斗严风与恶霜,4,implicit positive（隐性正面）,positive,positive,True,True
九月九日忆山东兄弟,王维,唐,独在异乡为异客每逢佳节倍思亲遥知兄弟登高处遍插茱萸少一人,2,implicit negative（隐性负面）,negative,positive,False,True
睡起二首,朱淑真,宋,起来不喜匀红粉强把菱花照病容腰瘦故知闲事恼泪多只为别情浓,1,negative（显性负面）,negative,neutral,False,False
冬夕酌月,白玉蟾,宋,二毛可惜雪霜侵日有清都绛阙心枝冷鹊翻檐外影庭空鸿堕月边音,2,implicit negative（隐性负面）,negative,negative,True,True
晚归再度西桥四首,杨万里,宋,归近溪桥东复东蓼花迎路舞西风草深一鸟忽飞起侬不觉它它觉侬,3,neutral（中性）,neutral,neutral,True,False
出真阳峡十首,杨万里,宋,今岁春流涨又销水痕犹印石间茅浮槎却被春流误长挂江边小树梢,2,implicit negative（隐性负面）,negative,positive,False,True
曲肱诗,白玉蟾,宋,我有随身一颗珠见时似有觅时无金鸡叫罢无人见月射寒光满太虚,2,implicit negative（隐性负面）,negative,negative,True,True
恭和圣制秋日书怀,方献夫,明,御苑亲耕喜有秋闾阎犹系花农忧深惭变理臣无补祇觉霜添两鬓愁,2,implicit negative（隐性负面）,negative,neutral,False,True
哭欧阳三弟叔敬沈湘六首,王夫之,明,枯木难消只赋心散愁长欲寄知音调孤雌霓休文句哭碎灵床子敬琴,1,negative（显性负面）,negative,neutral,False,False
醉吟三首,陆游,宋,牵经引礼人谁聴是古非今世共憎何似对花倾绿酒自歌一曲醉腾腾,3,neutral（中性）,neutral,positive,False,False
癸巳夏旁郡多苦旱惟汉嘉数得雨然未足也立秋夜三鼓雨至明日晡后未止高下沾足喜而有赋二首,陆游,宋,画檐鸣雨早秋天不喜新凉喜有年眼里香秔三万顷寄声父老共欣然,4,implicit positive（隐性正面）,positive,positive,True,True
出城寄权璩、杨敬之,李贺,唐,草暖云昏万里春宫花拂面送行人自言汉剑当飞去何事还车载病身,2,implicit negative（隐性负面）,negative,positive,False,True
叹花,杜牧,唐,自是寻春去校迟不须惆怅怨芳时狂风落尽深红色绿叶成阴子满枝,4,implicit positive（隐性正面）,positive,positive,True,True
题安石蒲葵图,刘基,明,东山导骑出岩阿能使枯蒲贵绮罗却恨卞和无禄位中宵抱玉泪成河,2,implicit negative（隐性负面）,negative,positive,False,True
栟楮江滨芙蓉一株发红白二色二首,杨万里,宋,芙蓉照水弄娇斜白白红红各一家近日司花出新巧一枝能著两般花,4,implicit positive（隐性正面）,positive,positive,True,True
刘监簿第一百二十九,文天祥,宋,艰难奋长戟高义薄曾云死为殊方鬼三夜频梦君,2,implicit negative（隐性负面）,negative,neutral,False,True
秋夜对雨寄石瓮寺二秀才,王建,唐,夜山秋雨滴空廊灯照堂前树叶光对坐读书终卷后自披衣被扫僧房,3,neutral（中性）,neutral,neutral,True,False
石林即事,萨都剌,元,三山幕府无公事多病郎官懒出门老鹤唤回童子睡石盆新雨长兰孙,3,neutral（中性）,neutral,negative,False,False
二神峰,陈岩,宋,伯仲怡然意甚真齐肩握手笑相亲云阴解駮排空立秀出人间棣萼春,4,implicit positive（隐性正面）,positive,positive,True,True
和中丞晏尚书忆谯涡二首,宋祁,宋,春波漫处寻他浦晚潦清时觅故洲使舸忽归心赏罢后来风浪但惊鸥,4,implicit positive（隐性正面）,positive,neutral,False,True
逢雪宿芙蓉山主人,刘长卿,唐,日暮苍山远天寒白屋贫柴门闻犬吠风雪夜归人,3,neutral（中性）,neutral,negative,False,False
子瞻与长老择师相遇于竹西石塔之间屡以绝句赠之又留书邀辙同作遂以一绝继之,苏辙,宋,远老陶翁好弟兄虎溪庐阜久逢迎何须更要经平子清议从来贵士衡,4,implicit positive（隐性正面）,positive,positive,True,True
录姜伯约遗言,刘克庄,宋,事或难遥度人殊未易知谁云卧龙死复有一姜维,3,neutral（中性）,neutral,negative,False,False
醉去来辞五首,耶律铸,元,唯有乐天知道者祇欣欢伯意安哉慇勤且莫相回避著去相将醉去来,4,implicit positive（隐性正面）,positive,positive,True,True
酬乐天频梦微之,元稹,唐,山水万重书断绝念君怜我梦相闻我今因病魂颠倒唯梦闲人不梦君,1,negative（显性负面）,negative,negative,True,False
