ID,诗名,花名,朝代,赏析_preview,zh_top5,zh_top10,sk_top5,sk_top10,共同token数,共同tokens,一致率
2,咏梅花,梅花,南朝梁,这首《咏梅花》，从梅花的飘零写到人生的飘零，情调是凄婉的。起首“可怜”二字，即为,"回、随、""、还、度","回 随 "" 还 度 乍 我 纤 指 之","感、""、彩、去、度","感 "" 彩 去 度 飘 于 梅 的 写",2,"度、""",0.2
154,沁园春,虞美人,宋,宋代诗人、词人都爱咏梅，而刘克庄与梅花可谓最有缘分。其初为建阳令时，曾作<落梅》,"""、橘、却、得、山",""" 橘 却 得 山 敛 当 幸 谤 忤",香、昭、之、幸、梦,香 昭 之 幸 梦 柄 咏 的 舜 他,1,幸,0.1
150,疏 影,虞美人,宋,宋人喜梅。自林逋“疏影横斜水清浅，暗香浮动月黄昏”的传神妙笔之后，虽代有佳作，且,拟、梅、笔、唱、疏,"拟 梅 笔 唱 疏 "" 般 重 起 词",梅、地、的、般、奴,梅 地 的 般 奴 宋 象 于 她 味,2,梅、般,0.2
149,疏 影,虞美人,宋,《暗香》、〈疏影>两词为姊妹篇，作于同时同地，亦同负盛名。〈暗香>旨在忆旧怀人，,"种、想、""、似、缀","种 想 "" 似 缀 莫 修 层 矢 宿",旨、化、的、塞、环,旨 化 的 塞 环 美 苞 幅 客 篇,0,,0.0
146,一尊红,虞美人,元,这首词借咏盆梅，寄托山林之志。 上片写盆梅白天开放，寒夜飘落。前半由昼景写到夜景,须、试、字、后、融,须 试 字 后 融 玉 藓 脉 贯 堂,着、之、后、>、放,着 之 后 > 放 字 泛 露 起 睡,2,字、后,0.2
140,汉宫春,虞美人,宋,·这是一首咏梅言志之作。上片首三句，极力渲染江梅的潇洒之美，而这种美又是通过“竹,拍、司、那、片、堂,拍 司 那 片 堂 歇 两 承 这 上,故、美、片、拍、对,故 美 片 拍 对 > 的 白 特 转,2,拍、片,0.2
137,江梅引,虞美人,金,"这首咏梅词侧重于“赋青梅""。青梅就是梅实，俗称梅子。可见这时已是暮春时节，梅花已",修、比、合、用、绾,修 比 合 用 绾 指 华 荐 献 试,统、黄、倦、喻、玉,统 黄 倦 喻 玉 叫 萼 某 取 于,0,,0.0
136,孤雁儿,虞美人,宋,清照词以白描见长，能以淡雅之笔写出幽怨之情、深曲之意。这首词正可为其范例。 全词,"续、便、""、闲、起","续 便 "" 闲 起 梅 恰 - 慢 无",写、弊、词、于、为,写 弊 词 于 为 的 慢 之 照 片,1,慢,0.1
135,渔家傲,虞美人,宋,这首词写月下赏梅，景物清幽，意趣超然。作为主体形象的梅花，幽姿楚楚，清香暗度，已,"""、妆、处、淡、想",""" 妆 处 淡 想 月 成 美 常 通","的、表、照、,、片","的 表 照 , 片 于 之 仁 女 美",1,美,0.1
127,朝中措,梅花,宋,这首词并不着力刻画梅之形貌，但确实是一首咏梅词。全篇遣词造句，意趣神色之间，梅之,"争、场、人、""、美","争 场 人 "" 美 底 同 写 把 免",梅、>、于、的、之,梅 > 于 的 之 句 与 作 梦 从,0,,0.0
