poet,title,dynasty,text,polarity,split
王寂,易足斋,金,吾爱吾庐事事幽此生随分得优游穷冬夜话蒲团暖长夏朝眠竹簟秋,Neutral,test
王安石,耿天騭惠梨次韵奉酬三首,宋,淮圃新阴百亩凉分甘每得助秋尝张公大谷虽云美谁肯苞苴出晋阳,Neutral,train
陆游,捣药鸟,宋,白发无情日日生散愁聊复作山行幽禽似欲嘲衰病故学禅房杵药声,Implicit Negative,train
王绂,写竹于慈节堂巻,明,堂前慈竹翠婆娑堂上慈亲鬓已皤歴尽氷霜当雨露诸縁应见锦绷多,Neutral,train
刘克庄,送勋侄之官嵢峡五言五首,宋,津吏难绳束滩船易覆翻能除一方害不忝二刘孙,Neutral,train
王建,酬从侄再看诗本,唐,眼暗没功夫慵来剪刻粗自看花样古称得少年无,Neutral,train
罗泽南,吊蔡江门先生,淸,今古兴亡感慨同时穷世乱见孤忠曾闻梦绕熊湘阁公泣潭州我泣公,Implicit Negative,test
黄裳,万竹轩,宋,阴遥俄喜日华落静久更宜山鸟鸣荣谢易为花厚薄岁寒还得岁寒情,Implicit Positive,train
白居易,寒食夜,唐,无月无灯寒食夜夜深犹立闇花前忽因时节惊年几四十如今欠一年,Implicit Negative,train
范仲淹,和提刑赵学士探梅三绝,宋,静映寒林晚未芳人人欲看寿阳妆玉颜须傍韶春笑莫斗严风与恶霜,Implicit Positive,test
王维,九月九日忆山东兄弟,唐,独在异乡为异客每逢佳节倍思亲遥知兄弟登高处遍插茱萸少一人,Implicit Negative,train
朱淑真,睡起二首,宋,起来不喜匀红粉强把菱花照病容腰瘦故知闲事恼泪多只为别情浓,Negative,train
白玉蟾,冬夕酌月,宋,二毛可惜雪霜侵日有清都绛阙心枝冷鹊翻檐外影庭空鸿堕月边音,Implicit Negative,train
杨万里,晚归再度西桥四首,宋,归近溪桥东复东蓼花迎路舞西风草深一鸟忽飞起侬不觉它它觉侬,Neutral,train
杨万里,出真阳峡十首,宋,今岁春流涨又销水痕犹印石间茅浮槎却被春流误长挂江边小树梢,Implicit Negative,train
白玉蟾,曲肱诗,宋,我有随身一颗珠见时似有觅时无金鸡叫罢无人见月射寒光满太虚,Implicit Negative,train
方献夫,恭和圣制秋日书怀,明,御苑亲耕喜有秋闾阎犹系花农忧深惭变理臣无补祇觉霜添两鬓愁,Implicit Negative,train
王夫之,哭欧阳三弟叔敬沈湘六首,明,枯木难消只赋心散愁长欲寄知音调孤雌霓休文句哭碎灵床子敬琴,Negative,train
陆游,醉吟三首,宋,牵经引礼人谁聴是古非今世共憎何似对花倾绿酒自歌一曲醉腾腾,Neutral,train
陆游,癸巳夏旁郡多苦旱惟汉嘉数得雨然未足也立秋夜三鼓雨至明日晡后未止高下沾足喜而有赋二首,宋,画檐鸣雨早秋天不喜新凉喜有年眼里香秔三万顷寄声父老共欣然,Implicit Positive,test
李贺,出城寄权璩、杨敬之,唐,草暖云昏万里春宫花拂面送行人自言汉剑当飞去何事还车载病身,Implicit Negative,test
杜牧,叹花,唐,自是寻春去校迟不须惆怅怨芳时狂风落尽深红色绿叶成阴子满枝,Implicit Positive,train
刘基,题安石蒲葵图,明,东山导骑出岩阿能使枯蒲贵绮罗却恨卞和无禄位中宵抱玉泪成河,Implicit Negative,train
杨万里,栟楮江滨芙蓉一株发红白二色二首,宋,芙蓉照水弄娇斜白白红红各一家近日司花出新巧一枝能著两般花,Implicit Positive,train
文天祥,刘监簿第一百二十九,宋,艰难奋长戟高义薄曾云死为殊方鬼三夜频梦君,Implicit Negative,train
王建,秋夜对雨寄石瓮寺二秀才,唐,夜山秋雨滴空廊灯照堂前树叶光对坐读书终卷后自披衣被扫僧房,Neutral,train
萨都剌,石林即事,元,三山幕府无公事多病郎官懒出门老鹤唤回童子睡石盆新雨长兰孙,Neutral,train
陈岩,二神峰,宋,伯仲怡然意甚真齐肩握手笑相亲云阴解駮排空立秀出人间棣萼春,Implicit Positive,train
宋祁,和中丞晏尚书忆谯涡二首,宋,春波漫处寻他浦晚潦清时觅故洲使舸忽归心赏罢后来风浪但惊鸥,Implicit Positive,test
刘长卿,逢雪宿芙蓉山主人,唐,日暮苍山远天寒白屋贫柴门闻犬吠风雪夜归人,Neutral,train
苏辙,子瞻与长老择师相遇于竹西石塔之间屡以绝句赠之又留书邀辙同作遂以一绝继之,宋,远老陶翁好弟兄虎溪庐阜久逢迎何须更要经平子清议从来贵士衡,Implicit Positive,train
刘克庄,录姜伯约遗言,宋,事或难遥度人殊未易知谁云卧龙死复有一姜维,Neutral,train
耶律铸,醉去来辞五首,元,唯有乐天知道者祇欣欢伯意安哉慇勤且莫相回避著去相将醉去来,Implicit Positive,test
元稹,酬乐天频梦微之,唐,山水万重书断绝念君怜我梦相闻我今因病魂颠倒唯梦闲人不梦君,Negative,train
贺铸,感兴六首,宋,雏雀学翻飞不知毛羽微青鵳笑高树待尔饱朝饥,Neutral,train
陈师道,南台,宋,城郭收灯兴未休却回春信到台头东风未借登临便柳色遥看特地愁,Implicit Negative,train
范成大,吊陈叔宝词,宋,赏心亭上再来游烟月迷人独自愁行到江边无去路却随潮水过扬州,Implicit Negative,train
陆游,病足昼卧梦中譫谆乃诵尚书也既觉口占绝句二首,宋,人能不食十二日惟书安可一日无唐虞虽远典谟在病卧蓬窗时嗫嚅,Implicit Negative,test
陈师道,戏寇君二首,宋,杜老秋来眼更寒蹇馿无复逐金鞍南邻却有新歌舞借与诗人一面看,Implicit Negative,test
金朋说,汉党锢,宋,坑士焚书已促秦前途覆辙又因循范滂一命何须惜可叹颠危汉室倾,Implicit Negative,train
陆游,睡觉,宋,白日悠悠喜意平梦中历历觉魂清觉时不落晨鸡后静待天窗一点明,Neutral,train
屈大均,赠某弁新婚,明,此日佳人宜换马而君偏惹丽华来燕裙赵带从军乐不念闺中长绿苔,Implicit Positive,train
释行海,有怀,宋,燕无消息雁都回三叠阳关笛更哀可惜梅花逢夜雨一场春怨满苍苔,Implicit Negative,train
王维,竹里馆,唐,独坐幽篁里弹琴复长啸深林人不知明月来相照,Neutral,train
王安石,秦淮泛舟,宋,强扶衰病牵淮舸尚怯春风泝午潮花与新吾如有意山于何处不相招,Implicit Negative,train
权德舆,和王祭酒太社宿斋不得赴李尚书宅会戏书见寄,唐,元礼门前劳引望句龙坛下阻欢娱此时对局空相忆博进何人更乐输,Neutral,train
王安石,遇雪,宋,定知花发是归期不奈归心日日归风雪岂知行客恨向人更作落花飞,Implicit Negative,train
白玉蟾,画石二首,宋,直作壶中九华看碧于簪玉小于拳好藏莫便令人见恐有痴情似米颠,Implicit Positive,test
释梵琮,礼密庵禅师塔,宋,绵里裹刀难近傍饭中有药出闽乡至今怕饮山中水我昔曾遭蛊毒伤,Neutral,train
陆游,看镜二首,宋,七十衰翁卧故山镜中无复旧朱颜一联轻甲流尘积不为君王戍玉关,Implicit Negative,train
张孝祥,仲钦寄民为重斋诗和答,宋,行边使者几时回寄我清风欲满怀已把十诗镌乐石为公满意落新斋,Implicit Positive,train
黄庭坚,四休居士诗三首,宋,一病能恼安乐性四病长作一生愁借问四休何所好不令一点上眉头,Neutral,test
晁说之,叠前,宋,董生今日窥园圃几许伤心涕泪垂金令不行呈木怪无端灾异乐哀为,Implicit Negative,test
范成大,老陈道人自云梦被召作地上主者又常受一贵家供祝之曰他日必来吾家作儿戏赠小颂,宋,野人何苦赴官差符使追呼挠道怀幸有于门香积供不如随喜去罗斋,Neutral,train
陆游,北窗,宋,寒泉断藕素丝长纹簟开瓜碧玉香午睡觉来桐影转无人可共北窗凉,Implicit Negative,test
范成大,发合江数里寄杨商卿诸公,宋,临分满意说离愁草草无言祇泪流船尾竹林遮县市故人犹自立沙头,Implicit Negative,train
张籍,赠李司议,唐,汉庭谁问投荒客十载天南着白衣秋草茫茫恶溪路岭头遥送北人稀,Implicit Negative,train
曾巩,席上,宋,市井萧条烟火微两衙散后雪深时若无一曲传金盏争奈衰翁两鬓丝,Implicit Negative,train
夏竦,皇后阁端午帖子,宋,中闺正肃鸣环节吉日爰逢采术时亿载繁禧同圣寿百男鸿庆茂仙枝,Positive,train
杜牧,紫薇花,唐,晓迎秋露一枝新不占园中最上春桃李无言又何在向风偏笑艳阳人,Implicit Positive,train
宋祁,闻王侍郎请老,宋,未老辞荣上所褒官閒犹寄白云曹海边人乐鸥先下笼外天多鹤始高,Implicit Positive,test
王安石,望淮口,宋,白烟瀰漫接天涯黯黯长空一道斜有似钱塘江上望晚潮初落见平沙,Neutral,test
叶梦得,偶书为山亭五首,宋,僚吏相哀白事稀抱琴时自弄清徽何妨共倒樽中渌不怕鸣驺问道归,Neutral,train
张说,奉和圣制幸韦嗣立山庄应制,唐,西京上相出扶阳东郊别业好池塘自非仁智符天赏安能日月共回光,Implicit Positive,train
黄庭坚,史天休中散挽词,宋,光禄九男君独秀赋名几与景仁班淹留州县看恬默出入风波笑险艰,Implicit Positive,train
陆游,建安遣兴六首,宋,刺虎腾身万目前白袍溅血尚依然圣时未用徵辽将虚老龙门一少年,Implicit Negative,train
朱淑真,秋夜有感,宋,哭损双眸断尽肠怕黄昏后到昏黄更堪细雨新秋夜一点残灯伴夜长,Negative,train
连横,啼鴃,近现代,芷绿兰红亦可悲一声啼鴃怨芳时江干寂寞春馨歇独向空山读楚词,Implicit Negative,test
沈括,叹老,宋,为觅少年心不得当时感旧已潸然情怀此日君休问又老当时二十年,Negative,train
司空图,春中,唐,伏溜侵阶润繁花隔竹香娇莺方晓听无事过南塘,Implicit Positive,test
方回,偶书二首,宋,一昨悬车后蹉跎又五年常书乞米帖犹费买花钱,Implicit Negative,train
刘克庄,陈景升顷遗余化度寺碑甚佳阙后三行归自龙溪始为余补足记以绝句,宋,端平曾叹阙三行淳祐重来为补亡收拾一碑劳十载此生凡事不须忙,Implicit Negative,train
王庭珪,段廷瑞四美堂,宋,风月江山何处无良辰乐事古难俱其间景物从来美此美天然画不如,Implicit Positive,train
杨万里,晓行闻竹鸡二首,宋,一番行路一番愁还自儿时到白头路不唤君君自去为谁著急不归休,Implicit Negative,train
方回,秋日古兰花十首,宋,绿叶梢头紫粟攒离骚经里古秋兰时人误唤孩儿菊惟有诗翁解细看,Neutral,train
杨万里,蜡梅四首,宋,江梅珍重雪衣裳薄相红梅学杏装渠独小参黄面老额间艳艳发金光,Implicit Positive,train
梅尧臣,甘棠,宋,更衣入侍宫中贵韡韡芸黄殿后花斗色长宜日光近生辉尤喜盖阴斜,Implicit Positive,train
曹勋,和钱处和大资四首,宋,迷云公已性天开双涧相逢若再来二老果能如洛下固宜慧远赋优哉,Implicit Positive,test
赵佶,金林檎游春莺,宋,佳名何拔萃美誉占游春三月来禽媚嬉娱异众伦,Implicit Positive,test
王彦泓,不寐,明,恶抱千端集夜深同眠人已睡沉沉梦中惊问腮边冷却是愁人泪湿衾,Implicit Negative,train
刘克庄,答敖茂才,宋,太傅品胡儿樊川誉阿宜既为诸父赏焉用外人知,Neutral,test
宋祁,闰九月晦日登舟二首,宋,二山皆在眼未忍去淮津三宿宁无恋况非桑下人,Neutral,test
王邦畿,春灯曲,明,大花红纸榜迎禧庆赏还同十五时闻道上元能赐福也应先赐与穷儿,Implicit Positive,train
艾性夫,漫兴,宋,冻耳萧萧天欲霜冬深门巷意苍凉一筇径为梅花出独立斜阳影正长,Neutral,train
欧阳修,送杨先辈登第还家,宋,解榻方欣待儁英挂帆千里忽南征锦衣白日还家乐鹤发高堂献寿荣,Positive,train
范成大,代儿童作立春贴门诗三首,宋,绿野添花径青春引杖藜家人行乐处双劝玉东西,Implicit Positive,train
赵孟僖,庆侍郎,宋,幸逢八秩庆生申搦管濡毫洒翰新十字顶头添个丿八千岁寿迈庄椿,Positive,test
杨万里,垂丝海棠半落,宋,雨后精神退九分病香愁态不胜春落阶一寸轻红雪卷地风来政恼人,Implicit Negative,train
范成大,四时田园杂兴六十首,宋,垂成穑事苦艰难忌雨嫌风更怯寒笺诉天公休掠剩半偿私债半输官,Implicit Negative,train
王维,叹白发,唐,宿昔朱颜成暮齿须臾白发变垂髫一生几许伤心事不向空门何处销,Implicit Negative,train
范成大,宴坐庵四首,宋,五更风竹闹轩窗听作江船浪隠床枕上翻身寻断梦故人待漏满鞾霜,Implicit Negative,test
范成大,偶箴,宋,情知万法本来空犹复将心奉八风逆顺境来欣戚变咄哉谁是主人翁,Neutral,test
黄庭坚,次韵谢公定王世弼赠答二绝句,宋,酒因咀嚼还知味诗就呻吟不要工王谢风流看二妙病夫直欲卧墙东,Neutral,train
王安石,寓言二首,宋,太虚无实可追寻叶落松枝谩古今若见桃花生圣解不疑还自有疑心,Neutral,train
元好问,论诗三十首,元,东野穷愁死不休高天厚地一诗囚江山万古潮阳笔合在元龙百尺楼,Neutral,train
连横,城南杂诗十二首,近现代,才人不偶伤鶧鹉楚客高歌哭凤凰今日宁南门下过招魂一恸菜畦狂,Negative,train
陆游,估客有自蔡州来者感怅弥日二首,宋,洮河马死剑锋摧緑发成丝每自哀几岁中原消息断喜闻人自蔡州来,Implicit Positive,train
廖刚,丙申春贴子八首,宋,碧波楼下银塘晚丽日亭前瑶草新和气满城催燕乐风流太守最宜春,Positive,train
张籍,哭丘长史,唐,丘公已殁故人稀欲过街西更访谁每到子城东路上忆君相逐入朝时,Implicit Negative,train
晁逈,诗一首,宋,宜城徵美酝汉水得佳鲂登岘思前哲游池醉夕阳,Implicit Positive,train
范成大,深溪铺中二绝追路寄呈元将仲显二使君,宋,祗有南风捲路尘断无南客送车轮故人合在潇湘见却向潇湘别故人,Implicit Negative,train
李之仪,试笔柬赵德麟二绝,宋,窗间多病委枯骸陌上初收雨后埃公子风流过京兆正堪眉妩傍妆台,Neutral,train
夏竦,御阁端午帖子,宋,赐羮佳事传青简续寿长丝献紫宸帝祉荐彰符盛德圣心勤恤为生民,Positive,train
陈与义,西省酴醾架上残雪可爱戏同王元忠席大光赋诗,宋,酴醾花底当年事夜雪模糊照酒阑北省今朝枝上雪还揩病眼作花看,Implicit Negative,test
夏竦,御阁端午帖子,宋,尚方绶带迎嘉节中禁彤闱纳美祥畴德珍符方瑞圣后天宸寿永无疆,Positive,train
元好问,石勒问道图,元,轻比韩彭作李阳高僧久已笑君狂中原果有刘文叔肯说铃声替戾冈,Neutral,train
方回,记正月二十五日西湖之游十五首,宋,炎炎赫赫忽荒寒败瓦颓墙百顷宽谁识旧朝大丞相手携红妓倚阑干,Implicit Negative,train
